sub_discipline_Id,sub_discipline_name,num_areas,areas
215,Neurophsyiology & Neuroscience,3,Philosophy of Cognitive Science; Philosophy of Language; Philosophy of Mind
212,Higher Education,5,Arabic and Islamic Philosophy; Ethics [Applied - Biomedical]; Indian and Tibetan Philosophy; Feminism; Philosophy of Science
213,Ecology,10,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Biology; Feminism; Philosophy of Science
264,Molecular Biochemical Parasitology,10,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
218,Molecular Biological Evolution,10,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Spacetime]; Philosophy of Language; Feminism; Philosophy of Science
219,Photonics,1,Philosophy of Physics [Spacetime]
131,Pest Management Science,12,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Language; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Biology; Feminism; Philosophy of Science
130,Pathology,1,Ethics [Applied - Biomedical]
498,Pragmatics & Discourse,8,Chinese Philosophy; 20th Century Philosophy; Social and Political Philosophy; Feminism; Ethics [Normative]; Philosophy of Language; Metaphysics; Philosophy of Mind
135,Stem Cells,11,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
134,Teacher Education; Evaluation,3,Epistemology [Formal]; Aesthetics; Social and Political Philosophy
139,Intensive Care,1,Ethics [Applied - Biomedical]
490,Menopause,1,Ethics [Applied - Biomedical]
166,Quaternary Research,11,Philosophy of Cognitive Science; Philosophy of Mathematics; Philosophy of Language; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Biology; Feminism; Philosophy of Science
24,Dermatology,1,Ethics [Applied - Biomedical]
25,Kidney,12,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
26,Pharmacology Science,11,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Philosophy of Biology; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
27,Law,11,Epistemology; Social and Political Philosophy; Ethics [Normative]; Ethics [Applied - Biomedical]; Ethics [Applied]; Ethics [Metaethics]; Aesthetics; Philosophy of Religion; Philosophy of Biology; Philosophy of Law; Feminism
20,Virology,13,Philosophy of Cognitive Science; Social and Political Philosophy; Philosophy of Mathematics; Philosophy of Biology; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Language; Feminism; Philosophy of Science
21,Plant Physiology,10,Philosophy of Cognitive Science; Social and Political Philosophy; Ethics [Normative]; Ethics [Applied - Biomedical]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Religion; Philosophy of Biology; Feminism; Philosophy of Science
22,Allergy & Clinical Immunology,1,Ethics [Applied - Biomedical]
23,Material Science,12,Philosophy of Cognitive Science; Philosophy of Mathematics; Logic [Computation and Agency]; Ethics [Applied - Biomedical]; Ethics [Normative]; Philosophy of Mind; Philosophy of Physics [Quantum Mechanics]; Philosophy of Physics [Spacetime]; Philosophy of Religion; Philosophy of Biology; Feminism; Philosophy of Science
28,Medical Imaging,1,Ethics [Applied - Biomedical]
